chapters	48	single-species-models	2026-03-27T02:27:32	119420	7f276a994f78af2af02d5bdd39b9566a50f5e3b09b25351c70cdff50736c66be	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/48
chapters	53	two-species-models	2026-03-27T02:30:16	63377	cdcc1c12fc5c0245ffbb94c6cfdc706570f50540bb6719d78e1391f282b114de	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/53
chapters	57	epidemiology	2026-03-19T20:23:36	48627	dcf828ca5ce0c58ced8eb5203dfd1b5a949bd6af3b9c000017a6dd133bb58d2f	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/57
parts	58	632-2-2	2026-03-17T22:14:18	6589	75d370fb729c39ba436eb1a91f5876291ef4c0487235b968d8a0a0002481f232	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/parts/58
chapters	62	chemical-reactions	2026-03-24T21:29:34	60372	1c9f5f1ec75756f23720a3ef5d278302de0957347a59dde6f8021d3a970d7656	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/62
chapters	196	diffusion	2026-03-19T20:10:36	65160	e53b35acf85334d2df48124211843b08b7ca1e9e9ca8c91465f215dfbb219c2a	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/196
chapters	194	pattern-formation	2026-03-19T20:11:05	49768	fbabaa5ed87f7b1e1a2a851555b2e0b7b37d3398a6450b67ffb73efcdb614f06	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/194
parts	409	appendices	2024-07-04T01:20:04	1664	ccc3b6a575bf84e7ae94d3b3f5320e59279b088bede008e0e99bb423821a05c8	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/parts/409
chapters	410	linear-algebra	2026-03-19T20:11:37	29468	762b7d0825a0669bc603f74b7d9b4c183a5e862dc594d3f9d467788397be31ce	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/410
chapters	413	appendix-vector-calculus	2026-03-19T19:53:52	31922	fa1364a307b033035bce94975db0667edf3b8d208e73b4e07882b090cafab377	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/413
chapters	445	appendix-ordinary-differential-equations	2026-03-19T20:12:31	136353	4c1d86fe406cb145189312bc82c7c1572632335b2cab0eb29ee6fbfa1fa9a37c	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/445
chapters	555	examples-of-project-topics	2026-03-24T21:46:02	38887	cb9e10a0a6df089194f2bb90bc335d641230cce00dc47c90b6d1802dd6769013	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/chapters/555
back-matter	767	accessibility-statement	2026-04-14T19:55:11	8643	b83809539e7891f791d94a4b52f260e90b43a9b5f74336cd66e0eb3d61e01e1f	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/back-matter/767
back-matter	771	versioning-history	2026-03-27T03:58:27	4360	0052fc28351f4f57432488687643f6cd422fa965621c7cddc364dba4b0bbf53d	https://opentextbooks.library.arizona.edu/mathematicalmodeling/wp-json/pressbooks/v2/back-matter/771
